Document ID,Rule 3: Credit check,Rule 3 Proof Phrase,Rule 8: Welcome pack,Rule 8 Proof Phrase,Rule 10: Cooling off period,Rule 10 Proof Phrase,Rule 15: Call is recorded,Rule 15 Proof Phrase,Rule 18: Yes,Rule 18 Proof Phrase,Reviewer Comments
POW.001.000411,Unidentified,,Unidentified,,Identified,You have a 10 day cooling off period,Identified,So this call is being recorded for quality training,Unidentified,,
POW.001.000412,Unidentified,,Unidentified,,Identified,you have 10 business days cooling off period during which you can cancel,Identified,So once again I'll just let you know cause record quality and compliance purposes,Identified,Do you confirm that you are over 18 authorized to enter into this agreement and understand and accept the terms of just vote which is also unpalatable. Yes,
POW.001.000413,Unidentified,,Unidentified,,Identified,You have a tendency of cooling off period during which you can't see,Identified,OK so you know so this call is being recorded for quality embittering,Unidentified,,
POW.001.000414,Unidentified,,Identified,If you do not receive the welcome pack wire e-mail within 24 hours please contact barber shop,Identified,you will have a 10 business days cooling off period during which you can cancel,Identified,Just before I go on so the calls will be recorded for coaching and quality,Identified,No last saw you confirm that you are over 18 years of age authorized to enter into this agreement and you understand and accept that you just throw it out to you which are all from the barbershops website. Do you understand this Mark. Yes,
POW.001.000415,Unidentified,,Unidentified,,Identified,You have a 10 business they cordoned off period during which you can count your sign up,Identified,Once again this calls recorded for quality and compliance,Identified,Finally you can funny you are over 18 authorized to enter into this agreement understand accept the terms you've just read which also on the House website. Please respond with a clear yes or no. Yes.,
POW.001.000416,Unidentified,,Unidentified,,Identified,You have a business day cooling off period during which you can cancel,Identified,So once I get it I was excited for quality and compliance purposes,Identified,over 18 almost to enter into this agreement and accept and understand. You just read which it said shops are safe. These respond with a yes or no. Yes,
POW.001.000417,Identified,power shop may also conduct a credit check on your credit check file,Unidentified,,Identified,You also have a 10 business day cooling off period in which you can cancel,Identified,The call be recorded for quality coaching purposes,Unidentified,,
POW.001.000418,Unidentified,,Identified,starts a business day after you receive your welcome back if you do not receive this email within 24 hours. Please contact barber shop,Identified,you have done business equalling up during which you can cancel,Identified,So before I go ahead I want to let you know that this call will be recorded for quality and training purposes ,Unidentified,,
POW.001.000419,Unidentified,,Identified,starts the day after you see your welcome back,Unidentified,,Unidentified,,Identified, Do you confirm me over 18 authorized to enter into this agreement and understand and accept the terms of you scratch which are also part of this website. Yes.,
POW.001.000420,Identified,they can do a credit check on you could get checked fails to meet push ups criteria. Partner may cancel this contract and not proceed with your switch or connection,Unidentified,,Identified,So you have a 10 business call an off period in which you can't see,Identified,So once this call is being recorded for quality purposes,Identified,I love your question you of 18 last to enter into this agreement. I know most folks understand and accept the terms I described to you which given a powerful flipside Please respond with a yes or no. Yes,
POW.001.000421,Unidentified,,Identified,started the business after you received your welcome back. If you do not receive this email within 24 hours please contact our shop,Identified,You have a 10 business day cooling off period during which you can cancel,Identified,Once again this call is being recorded for quality and compliance purposes,Identified,Now do you confirm your or were 18 authorized to enter into a gruman and understand and accept the terms to which we have just read which are also on par with the episode. Please respond with a clear yes or no. Yes,
POW.001.000422,Identified,Are we supposed to available intelligent service but how shotmaking a credit check on you. Where are credit checks to meet townships criteria. How shocked might cancel this contract,Unidentified,,Identified,You have 10 business days cooling off period,Identified,Now once again I'll just let you know that the call is recorded for quality and training purposes,Unidentified,,
POW.001.000423,Identified,They may also contact a credit check or new credit check failed to meet powershares criteria which may cancel this contract,Unidentified,,Identified,You also have a business day cooling off period and when you can cancel,Identified,Once again I need to advise you that the call be recorded for quality of play purpose,Identified,Can you please confirm that you are over the age of 18. Also I and told you they agree with and understand that they accept the terms I've just read out to you which is also available. The palencia can only respond with yes or no. Yes,
POW.001.000424,Unidentified,,Unidentified,,Identified,You will have 10 business days cooling off period during which you can cancel,Identified,Once again make the call be recorded,Identified,Last minute you can phone that you're over 18 years of age authorized to enter into this agreement and you understand the subject on which is sought out to you which are also on the website. Do you understand that. Yes.,
POW.001.000425,Identified,Power shop may conduct a credit check if you wear a credit check fails to meet our shop's criteria. Our shop may cancel the second truck and may not proceed with your connection,Unidentified,,Identified,ou have a 10 day business day cooling off period which you can cancel,Identified,Once again this call is recorded for quality and compliance purposes,Identified,Do you confirm you are over 18. So right the disagreement and understand and accept the terms we've just read on which are also on our shops website. Yes,
POW.001.000426,Unidentified,,Unidentified,,Identified,You have a 10 business day cooling off period during which you can cancel,Identified,So once again this calls recorded for quality and compliance,Identified,Do you confirm you're over 18. Authorize to enter into this agreement and understand accept the terms we have just read which it also empowers shops that site. Please respond with a yes or no. Yes,
POW.001.000427,Unidentified,,Unidentified,,Identified,You have a 10 day cooling off period,Identified,Once again I to let you know that this call is recorded for the purpose of quality and coaching,Identified,So do you can find that you are over 18 years of age authorized to enter into this agreement and understand and accept the terms you've just read which are available in bar shops website. Yes,
POW.001.000428,Unidentified,,Unidentified,starts the business day after you receive a welcome package. If you do not receive this e-mail within 24 hours you can call a barber shop,Identified,You will have 10 business days cooling off period during which you can cancel,Identified,So once again the call will be recorded for quality and compliance purposes,Identified,Now you can feel that you are over 18 years of age authorized to enter into this agreement and you understand the terms. We just saw it out to you which are also on the barbershops website. Do you understand this. Yes,
POW.001.000429,Unidentified,,Identified,tarts the business day after you receive your Welcome back. If you do not receive this via email within 24 hours please contact power shop,Identified,You have a business day cooling off period during which you can cancel,Identified,So once again this call is being recorded for quality compliance purposes,Identified,And once again do you confirm that you are over 18 authorized to go into this agreement. That you understand and set the terms that we've just read out which are also upheld shops Web site. I'm sorry. Yes.,
POW.001.000430,Unidentified,,Unidentified,,Unidentified,,Identified,OK. I just need to let you know that the call is recorded for quality and training purposes,Identified,So do your concern because as soon as you know that you are over 18 authorized in to this agreement. I understand the next time we just wrote which some polls show what. Yes,
POW.001.000431,Unidentified,,Identified,Or would you like to wait for your welcome. I would like to receive the welcome back,Identified,You have a 10 day cooling off period during which you can cancel,Identified,So once again this call is record for quality and compliance purposes,Identified,So now last question Natalia you confirmed over 18 authorized to enter into disagreement and understand and accept the terms we've just read which are also in power source website so please respond with a yes or no. Yes.,
POW.001.000432,Unidentified,,Identified,I mean you can read them in the welcome packet.,Identified,You have a 10 business day cooling off period,Identified,So once again this call is recorded for quality and compliance purposes,Identified,do confirm you are over 18 or 30 enter into this agreement and understand and accept the terms we've just read which are also part of the website. Please respond with yes or no. If you do nothing you confirm you are over 18 or tries to enter into this agreement. And I understand and accept the terms we've just read which are also impartial but please respond with yes or no. Yes.,
POW.001.000433,Unidentified,,Identified,That period starts the business day after you receive your welcome pack. If you do not receive this via email within 24 hours please contact power shop,Identified,You have a 10 business day cooling off period during which you can cancel,Identified,Once again this call will be recorded for quality and compliance,Not yet reviewed,So finally you confirm that you are over 18 authorized to enter into this agreement. Understand and accept the terms we've just made which are also on power shops website. Please respond with a clear yes or no. Yes.,
POW.001.000434,Unidentified,,Unidentified,,Identified,you have 10 business day cooling off period during which you can cancel,Identified,So once again for quality and compliance purposes this call is being recorded,Identified,Do you confirm you are over 18 authorized to enter into this agreement and understand and accept the terms that you wrote which you are also on part of shops website. Yes,
POW.001.000435,Unidentified,,Unidentified,,Not yet reviewed,You will have a 10 business days cooling off period during which you can cancel,Identified,But just once again the call will be recorded.,Not yet reviewed,you can form that you are over 18 years of age authorized to enter into disagreement and you address and accept the terms which turned out to you which are also in the barbershops website. Yes,
POW.001.000436,Identified,where you shop. Make a credit check on a credit check sales meet patients criteria,Identified,the period starts a business day after you receive your welcome pack. If you do not receive this via e-mail within 24 hours please contact the power shop,Identified,You have a 10 business day cooling off period during which you can count,Identified,Once again this calls it for quality and compliance purposes,Unidentified,,
POW.001.000437,Unidentified,,Unidentified,,Identified,You really have a 10 day cooling off period during which you can cancel,Identified,Once again this call is recorded for quality and compliance purposes,Identified,Do you confirm you are over 18 authorized to enter into this agreement and understand and accept the terms of just read out which are also very important. Please respond with a yes or no. Yes ,
POW.001.000438,Unidentified,,Identified,It starts the business day after you receive your welcome party if you do not received my email within 24 hours. Contact barber shop,Identified,you have a 10 business day cooling off period during which you can cancel,Identified,Once again the call is recorded,Identified,do you conform your over 18 authorized to enter into this agreement. And I understand and accept the terms you've just read which are also in power shops the website. Yes.,
POW.001.000439,Identified,also our shop to conduct a credit check on you for a credit check,Unidentified,,Identified,You have a 10 business days holding up during which you can cancel,Identified,I just need to let you know that this will be recorded for coaching and compliance purposes.,Identified,Do you confirm your over being authorized to enter into this agreement. I understand and accept the facts which I read which as I said I wish I had. Yes.,
POW.001.000440,Unidentified,,Unidentified,,Identified,You have a 10 business street corner preacher in which you can count your son,Unidentified,,Identified,You can tell that you're over 18 years of age. You're authorized to enter into this agreement and you understand the set the terms that you just read which are power shops. So please respond with a yes or no. Yes.,
POW.001.000441,Identified,may conduct a credit check on your credit check,Unidentified,,Identified,You will have a business day cooling off period during which you can cancel,Identified,o once again calls recorded for quality and training purposes,Not yet reviewed,Now you can confirming over 18 years of age. You're authorized to enter into this agreement and you understand the set the terms that we just read which are house shops. So please yes or no. Oh yes.,
POW.001.000442,Identified,They may also conduct a credit check on you,Identified,The period starts with business day after you receive the welcome back,Identified,You'll have a 10 business days cooling off period during which you can cancel,Identified,So once again this call will be recorded for quality and training purposes,Identified,Oh I just need to confirm just a yes or no did you confirm that you were over 18 authorized to enter into this agreement and understand and accept the terms which just read. Which is also unpalatable right. Yes,
POW.001.000443,Identified,the day you make contact a credit check on you work credit check fails to meet your power of criteria. They may cancel this contract and proceed with your switch,Unidentified,,Identified,You also have a business day cooling off period from which you receive so you can cancel,Identified,from this point onwards that the call be monitored and because of for quality and compliance purposes.,Unidentified,,
POW.001.000444,Unidentified,,Unidentified,,Identified,You also have a business day cooling off period for which you receive. So when you can cancel,Identified,Advice to you from this point on the words that the call be monitored and because of quality compliance,Unidentified,,
POW.001.000445,Unidentified,,Unidentified,,Identified,you do have your 10 business day cooling off period,Unidentified,,Identified,Do you feel you are over 18 authorized to enter into this agreement. Understand and accept the terms of just read out which are also available on powershares the Web site Please respond with a yes or no. Yes,
POW.001.000446,Identified,I shopped dot com that you may share with us how they conduct a credit check on you,Unidentified,,Identified,You have a 10 day cooling off period in which you can cancel,Unidentified,,Identified,you did confirm that you are over 18 authorized to enter into this agreement. And I have said which but also on our website. Yes.,
POW.001.000447,Unidentified,,Unidentified,,Identified,You have a 10 business day cooling off period during which you can cancel,Identified,Once again for training and verification purposes this call is being recorded.,Identified,Do you confirm your over 18 authorized to enter into a gruman and understand and accept the terms which we have just read which are also on parva shop. So please respond with a clear yes or no. Yes,
POW.001.000448,Unidentified,,Unidentified,,Identified,ou have a 10 day cooling off period during which you can cancel,Unidentified,,Identified,Do you know can you please confirm that you're over 18 authorized to enter into the service and understand and accept the terms and conditions of this offer. These are also power shops website. Yes,
POW.001.000449,Unidentified,,Unidentified,,Identified,You have a 10 day cooling off period during which you can cancel,Unidentified,,Identified,can you please confirm that you're over 18 authorized to enter into so long they know and understand and accept the terms and conditions of this offer. These are also power shops website. Yes ,
POW.001.000450,Unidentified,,Unidentified,,Identified,You have a 10 percent pay cooling off period during which you can cancel,Identified,So just before you proceed I need to let you know that the call is being recorded for coaching and quality purposes,Identified,So you confirm that you are over the age of 18 authorized to enter into this agreement and I understand and accept the terms. Terms we've just made and also. Shops website. Please respond the clear yes or no. Yes ,
